Timestamp,Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-08-27 11:29:31,37,female,united states,il,,no,often,6-25,no,yes,yes,not sure,no,yes,yes,somewhat easy,no,no,some of them,yes,no,maybe,yes,no,
2014-08-27 11:29:37,44,m,united states,in,,no,rarely,more than 1000,no,no,don't know,no,don't know,don't know,don't know,don't know,maybe,no,no,no,no,no,don't know,no,
2014-08-27 11:29:44,32,male,canada,in,,no,rarely,6-25,no,yes,no,no,no,no,don't know,somewhat difficult,no,no,yes,yes,yes,yes,no,no,
2014-08-27 11:29:46,31,male,united kingdom,in,,yes,often,26-100,no,yes,no,yes,no,no,no,somewhat difficult,yes,yes,some of them,no,maybe,maybe,no,yes,
2014-08-27 11:30:22,31,male,united states,tx,,no,never,100-500,yes,yes,yes,no,don't know,don't know,don't know,don't know,no,no,some of them,yes,yes,yes,don't know,no,
2014-08-27 11:31:22,33,male,united states,tn,,yes,sometimes,6-25,no,yes,yes,not sure,no,don't know,don't know,don't know,no,no,yes,yes,no,maybe,don't know,no,
2014-08-27 11:31:50,35,female,united states,mi,,yes,sometimes,1-5,yes,yes,no,no,no,no,no,somewhat difficult,maybe,maybe,some of them,no,no,no,don't know,no,
2014-08-27 11:32:05,39,m,canada,mi,,no,never,1-5,yes,yes,no,yes,no,no,yes,don't know,no,no,no,no,no,no,no,no,
2014-08-27 11:32:39,42,female,united states,il,,yes,sometimes,100-500,no,yes,yes,yes,no,no,no,very difficult,maybe,no,yes,yes,no,maybe,no,no,
2014-08-27 11:32:43,23,male,canada,il,,no,never,26-100,no,yes,don't know,no,don't know,don't know,don't know,don't know,no,no,yes,yes,maybe,maybe,yes,no,
2014-08-27 11:32:44,31,male,united states,oh,,no,sometimes,6-25,yes,yes,don't know,no,no,no,don't know,don't know,no,no,some of them,yes,no,no,don't know,no,
2014-08-27 11:32:49,29,male,bulgaria,oh,,no,never,100-500,yes,yes,don't know,not sure,no,no,don't know,don't know,no,no,yes,yes,yes,yes,don't know,no,
2014-08-27 11:33:23,42,female,united states,ca,,yes,sometimes,26-100,no,no,yes,yes,no,no,don't know,somewhat difficult,yes,yes,yes,yes,maybe,maybe,no,yes,
2014-08-27 11:33:26,36,male,united states,ct,,yes,never,500-1000,no,yes,don't know,not sure,no,don't know,don't know,don't know,no,no,yes,yes,no,no,don't know,no,i'm not on my company's health insurance which could be part of the reason i answered don't know to so many questions.
2014-08-27 11:33:57,27,male,canada,ct,,no,never,6-25,no,yes,don't know,not sure,don't know,don't know,don't know,somewhat easy,no,no,some of them,some of them,maybe,yes,yes,no,i'm not on my company's health insurance which could be part of the reason i answered don't know to so many questions.
2014-08-27 11:34:00,29,female,united states,il,,yes,rarely,26-100,no,yes,yes,not sure,no,no,don't know,somewhat easy,no,no,yes,some of them,maybe,maybe,don't know,no,i have chronic low-level neurological issues that have mental health side effects. one of my supervisors has also experienced similar neurological problems so i feel more comfortable being open about my issues than i would with someone without that experience.
2014-08-27 11:34:20,23,male,united kingdom,il,,no,sometimes,26-100,yes,yes,don't know,no,don't know,don't know,don't know,very easy,maybe,no,some of them,no,maybe,maybe,no,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:34:37,32,male,united states,tn,,no,sometimes,6-25,no,yes,yes,yes,no,don't know,don't know,don't know,maybe,no,some of them,yes,no,no,no,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:34:53,46,male,united states,md,yes,yes,sometimes,1-5,yes,yes,yes,not sure,yes,don't know,yes,very easy,no,no,yes,yes,no,yes,yes,yes,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:35:08,36,male,france,md,yes,yes,sometimes,6-25,yes,yes,no,no,yes,no,yes,somewhat easy,no,no,some of them,some of them,maybe,maybe,don't know,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:35:12,29,male,united states,ny,no,yes,sometimes,100-500,no,yes,yes,yes,no,no,no,somewhat difficult,maybe,no,some of them,some of them,no,no,no,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:35:24,31,male,united states,nc,yes,no,never,1-5,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,some of them,some of them,no,maybe,yes,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:35:48,46,male,united states,ma,no,no,often,26-100,yes,yes,yes,yes,no,no,don't know,don't know,maybe,no,some of them,yes,no,maybe,no,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:36:24,41,male,united states,ia,no,no,never,more than 1000,no,no,don't know,no,no,don't know,don't know,don't know,maybe,no,no,no,no,yes,don't know,no,my company does provide healthcare but not to me as i'm on a fixed-term contract. the mental healthcare i use is provided entirely outside of my work.
2014-08-27 11:36:48,33,male,united states,ca,no,yes,rarely,26-100,no,yes,yes,not sure,don't know,yes,yes,don't know,no,no,yes,yes,no,yes,don't know,no,relatively new job. ask again later
2014-08-27 11:37:08,35,male,united states,tn,no,yes,sometimes,more than 1000,no,no,yes,yes,no,don't know,no,very easy,yes,no,some of them,yes,no,yes,no,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:37:23,33,male,united states,tn,no,no,sometimes,1-5,no,yes,don't know,not sure,no,don't know,don't know,don't know,maybe,maybe,some of them,no,no,no,don't know,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:37:59,35,female,united states,ca,no,yes,rarely,6-25,yes,yes,yes,yes,don't know,don't know,don't know,don't know,no,no,yes,yes,maybe,maybe,yes,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:38:12,34,male,united states,oh,no,no,sometimes,26-100,yes,yes,don't know,not sure,no,don't know,don't know,somewhat difficult,no,no,some of them,no,no,no,no,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:38:18,37,male,united kingdom,oh,no,no,sometimes,6-25,no,yes,no,no,no,no,don't know,very difficult,yes,maybe,some of them,no,no,maybe,no,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:39:03,32,male,united kingdom,oh,no,no,never,6-25,yes,yes,no,no,no,no,don't know,don't know,yes,yes,some of them,some of them,no,maybe,no,no,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
2014-08-27 11:38:55,31,male,united states,pa,yes,yes,rarely,1-5,yes,yes,no,yes,no,no,don't know,somewhat difficult,yes,no,no,no,no,no,no,yes,sometimes i think  about using drugs for my mental health issues. if i use drugs i feel better
